"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Adjusted Capacity","Passenger Car Equivalent","AV Market and Vehicle Size Adjusted Capacity"
"1","Freeway",2200,30,1.05666666666667,2325,0.9,2583
"2","Merge",1800,30,1.05,1890,0.8,2362
"3","Diverge",1900,30,1.16,2204,0.8,2755
