"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Penetration Adjusted Capacity","PCE","AV Market Penetration and PCE Adjusted Capacity","ZOV Percentage","ZOV CAF","ZOV and AV Market Penetration Adjusted Capacity","ZOV, PCE, and AV Market Penetration Adjusted Capacity"
"1","Freeway",2200,30,1.05666666666667,2325,0.9,2583,10,1.00666666666667,2215,2461
"2","Merge",1800,30,1.05,1890,0.8,2362,10,1,1800,2250
"3","Diverge",1900,30,1.16,2204,0.8,2755,10,1.10333333333333,2096,2620
