"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Penetration Adjusted Capacity","PCE","AV Market Penetration and PCE Adjusted Capacity","ZOV Percentage","ZOV CAF","ZOV and AV Market Penetration Adjusted Capacity","ZOV, PCE, and AV Market Penetration Adjusted Capacity"
"66","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"67","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"68","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"69","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"70","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"71","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"72","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"73","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"74","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"75","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"76","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"77","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"78","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"79","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"80","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"81","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"82","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"83","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"84","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"85","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
