CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,CAF
0,10,Diverge,0.71,10,2,2100,1.0
10,10,Diverge,0.71,10,2,2100,1.01
20,10,Diverge,0.71,10,2,2100,1.02
30,10,Diverge,0.71,10,2,2100,1.06
40,10,Diverge,0.71,10,2,2100,1.1
50,10,Diverge,0.71,10,2,2100,1.18
60,10,Diverge,0.71,10,2,2100,1.25
70,10,Diverge,0.71,10,2,2100,1.31
80,10,Diverge,0.71,10,2,2100,1.37
90,10,Diverge,0.71,10,2,2100,1.45
100,10,Diverge,0.71,10,2,2100,1.53
0,10,Diverge,0.71,10,2,1800,1.0
10,10,Diverge,0.71,10,2,1800,1.08
20,10,Diverge,0.71,10,2,1800,1.15
30,10,Diverge,0.71,10,2,1800,1.21
40,10,Diverge,0.71,10,2,1800,1.27
50,10,Diverge,0.71,10,2,1800,1.34
60,10,Diverge,0.71,10,2,1800,1.4
70,10,Diverge,0.71,10,2,1800,1.5
80,10,Diverge,0.71,10,2,1800,1.6
90,10,Diverge,0.71,10,2,1800,1.71
100,10,Diverge,0.71,10,2,1800,1.82
0,10,Merge,0.71,10,2,2200,1.0
10,10,Merge,0.71,10,2,2200,1.01
20,10,Merge,0.71,10,2,2200,1.02
30,10,Merge,0.71,10,2,2200,1.05
40,10,Merge,0.71,10,2,2200,1.07
50,10,Merge,0.71,10,2,2200,1.12
60,10,Merge,0.71,10,2,2200,1.16
70,10,Merge,0.71,10,2,2200,1.25
80,10,Merge,0.71,10,2,2200,1.33
90,10,Merge,0.71,10,2,2200,1.41
100,10,Merge,0.71,10,2,2200,1.49
0,20,Freeway,0.71,10,2,2400,1.0
10,20,Freeway,0.71,10,2,2400,1.01
20,20,Freeway,0.71,10,2,2400,1.02
30,20,Freeway,0.71,10,2,2400,1.05
40,20,Freeway,0.71,10,2,2400,1.07
50,20,Freeway,0.71,10,2,2400,1.1
60,20,Freeway,0.71,10,2,2400,1.13
70,20,Freeway,0.71,10,2,2400,1.18
80,20,Freeway,0.71,10,2,2400,1.22
90,20,Freeway,0.71,10,2,2400,1.29
100,20,Freeway,0.71,10,2,2400,1.35
0,20,Freeway,0.71,10,2,2100,1.0
10,20,Freeway,0.71,10,2,2100,1.01
20,20,Freeway,0.71,10,2,2100,1.02
30,20,Freeway,0.71,10,2,2100,1.06
40,20,Freeway,0.71,10,2,2100,1.1
50,20,Freeway,0.71,10,2,2100,1.18
60,20,Freeway,0.71,10,2,2100,1.25
70,20,Freeway,0.71,10,2,2100,1.31
80,20,Freeway,0.71,10,2,2100,1.37
90,20,Freeway,0.71,10,2,2100,1.45
100,20,Freeway,0.71,10,2,2100,1.53
0,20,Freeway,0.71,10,2,1800,1.0
10,20,Freeway,0.71,10,2,1800,1.08
20,20,Freeway,0.71,10,2,1800,1.15
30,20,Freeway,0.71,10,2,1800,1.21
40,20,Freeway,0.71,10,2,1800,1.27
50,20,Freeway,0.71,10,2,1800,1.34
60,20,Freeway,0.71,10,2,1800,1.4
70,20,Freeway,0.71,10,2,1800,1.5
80,20,Freeway,0.71,10,2,1800,1.6
90,20,Freeway,0.71,10,2,1800,1.71
100,20,Freeway,0.71,10,2,1800,1.82
0,20,Diverge,0.71,10,2,2400,1.0
10,20,Diverge,0.71,10,2,2400,1.01
20,20,Diverge,0.71,10,2,2400,1.02
30,20,Diverge,0.71,10,2,2400,1.05
40,20,Diverge,0.71,10,2,2400,1.07
50,20,Diverge,0.71,10,2,2400,1.1
60,20,Diverge,0.71,10,2,2400,1.13
70,20,Diverge,0.71,10,2,2400,1.18
80,20,Diverge,0.71,10,2,2400,1.22
90,20,Diverge,0.71,10,2,2400,1.29
100,20,Diverge,0.71,10,2,2400,1.35
0,20,Diverge,0.71,10,2,2100,1.0
10,20,Diverge,0.71,10,2,2100,1.01
20,20,Diverge,0.71,10,2,2100,1.02
30,20,Diverge,0.71,10,2,2100,1.06
40,20,Diverge,0.71,10,2,2100,1.1
50,20,Diverge,0.71,10,2,2100,1.18
60,20,Diverge,0.71,10,2,2100,1.25
70,20,Diverge,0.71,10,2,2100,1.31
80,20,Diverge,0.71,10,2,2100,1.37
90,20,Diverge,0.71,10,2,2100,1.45
100,20,Diverge,0.71,10,2,2100,1.53
0,20,Diverge,0.71,10,2,1800,1.0
10,20,Diverge,0.71,10,2,1800,1.08
20,20,Diverge,0.71,10,2,1800,1.15
30,20,Diverge,0.71,10,2,1800,1.21
40,20,Diverge,0.71,10,2,1800,1.27
50,20,Diverge,0.71,10,2,1800,1.34
60,20,Diverge,0.71,10,2,1800,1.4
70,20,Diverge,0.71,10,2,1800,1.5
80,20,Diverge,0.71,10,2,1800,1.6
90,20,Diverge,0.71,10,2,1800,1.71
100,20,Diverge,0.71,10,2,1800,1.82
0,20,Merge,0.71,10,2,2200,1.0
10,20,Merge,0.71,10,2,2200,1.01
20,20,Merge,0.71,10,2,2200,1.02
30,20,Merge,0.71,10,2,2200,1.05
40,20,Merge,0.71,10,2,2200,1.07
50,20,Merge,0.71,10,2,2200,1.12
60,20,Merge,0.71,10,2,2200,1.16
70,20,Merge,0.71,10,2,2200,1.25
80,20,Merge,0.71,10,2,2200,1.33
90,20,Merge,0.71,10,2,2200,1.41
100,20,Merge,0.71,10,2,2200,1.49
0,30,Freeway,0.71,10,2,2400,1.0
10,30,Freeway,0.71,10,2,2400,1.01
20,30,Freeway,0.71,10,2,2400,1.02
30,30,Freeway,0.71,10,2,2400,1.05
40,30,Freeway,0.71,10,2,2400,1.07
50,30,Freeway,0.71,10,2,2400,1.1
60,30,Freeway,0.71,10,2,2400,1.13
70,30,Freeway,0.71,10,2,2400,1.18
80,30,Freeway,0.71,10,2,2400,1.22
90,30,Freeway,0.71,10,2,2400,1.29
100,30,Freeway,0.71,10,2,2400,1.35
0,30,Freeway,0.71,10,2,2100,1.0
10,30,Freeway,0.71,10,2,2100,1.01
20,30,Freeway,0.71,10,2,2100,1.02
30,30,Freeway,0.71,10,2,2100,1.06
40,30,Freeway,0.71,10,2,2100,1.1
50,30,Freeway,0.71,10,2,2100,1.18
60,30,Freeway,0.71,10,2,2100,1.25
70,30,Freeway,0.71,10,2,2100,1.31
80,30,Freeway,0.71,10,2,2100,1.37
90,30,Freeway,0.71,10,2,2100,1.45
100,30,Freeway,0.71,10,2,2100,1.53
0,30,Freeway,0.71,10,2,1800,1.0
10,30,Freeway,0.71,10,2,1800,1.08
20,30,Freeway,0.71,10,2,1800,1.15
30,30,Freeway,0.71,10,2,1800,1.21
40,30,Freeway,0.71,10,2,1800,1.27
50,30,Freeway,0.71,10,2,1800,1.34
60,30,Freeway,0.71,10,2,1800,1.4
70,30,Freeway,0.71,10,2,1800,1.5
80,30,Freeway,0.71,10,2,1800,1.6
90,30,Freeway,0.71,10,2,1800,1.71
100,30,Freeway,0.71,10,2,1800,1.82
0,30,Diverge,0.71,10,2,2400,1.0
10,30,Diverge,0.71,10,2,2400,1.01
20,30,Diverge,0.71,10,2,2400,1.02
30,30,Diverge,0.71,10,2,2400,1.05
40,30,Diverge,0.71,10,2,2400,1.07
50,30,Diverge,0.71,10,2,2400,1.1
60,30,Diverge,0.71,10,2,2400,1.13
70,30,Diverge,0.71,10,2,2400,1.18
80,30,Diverge,0.71,10,2,2400,1.22
90,30,Diverge,0.71,10,2,2400,1.29
100,30,Diverge,0.71,10,2,2400,1.35
0,30,Diverge,0.71,10,2,2100,1.0
10,30,Diverge,0.71,10,2,2100,1.01
20,30,Diverge,0.71,10,2,2100,1.02
30,30,Diverge,0.71,10,2,2100,1.06
40,30,Diverge,0.71,10,2,2100,1.1
50,30,Diverge,0.71,10,2,2100,1.18
60,30,Diverge,0.71,10,2,2100,1.25
70,30,Diverge,0.71,10,2,2100,1.31
80,30,Diverge,0.71,10,2,2100,1.37
90,30,Diverge,0.71,10,2,2100,1.45
100,30,Diverge,0.71,10,2,2100,1.53
0,30,Diverge,0.71,10,2,1800,1.0
10,30,Diverge,0.71,10,2,1800,1.08
20,30,Diverge,0.71,10,2,1800,1.15
30,30,Diverge,0.71,10,2,1800,1.21
40,30,Diverge,0.71,10,2,1800,1.27
50,30,Diverge,0.71,10,2,1800,1.34
60,30,Diverge,0.71,10,2,1800,1.4
70,30,Diverge,0.71,10,2,1800,1.5
80,30,Diverge,0.71,10,2,1800,1.6
90,30,Diverge,0.71,10,2,1800,1.71
100,30,Diverge,0.71,10,2,1800,1.82
0,30,Merge,0.71,10,2,2200,1.0
10,30,Merge,0.71,10,2,2200,1.01
20,30,Merge,0.71,10,2,2200,1.02
30,30,Merge,0.71,10,2,2200,1.05
40,30,Merge,0.71,10,2,2200,1.07
50,30,Merge,0.71,10,2,2200,1.12
60,30,Merge,0.71,10,2,2200,1.16
70,30,Merge,0.71,10,2,2200,1.25
80,30,Merge,0.71,10,2,2200,1.33
90,30,Merge,0.71,10,2,2200,1.41
100,30,Merge,0.71,10,2,2200,1.49
0,40,Freeway,0.71,10,2,2400,1.0
10,40,Freeway,0.71,10,2,2400,1.01
20,40,Freeway,0.71,10,2,2400,1.02
30,40,Freeway,0.71,10,2,2400,1.05
40,40,Freeway,0.71,10,2,2400,1.07
50,40,Freeway,0.71,10,2,2400,1.1
60,40,Freeway,0.71,10,2,2400,1.13
70,40,Freeway,0.71,10,2,2400,1.18
80,40,Freeway,0.71,10,2,2400,1.22
90,40,Freeway,0.71,10,2,2400,1.29
100,40,Freeway,0.71,10,2,2400,1.35
0,40,Freeway,0.71,10,2,2100,1.0
10,40,Freeway,0.71,10,2,2100,1.01
20,40,Freeway,0.71,10,2,2100,1.02
30,40,Freeway,0.71,10,2,2100,1.06
40,40,Freeway,0.71,10,2,2100,1.1
50,40,Freeway,0.71,10,2,2100,1.18
60,40,Freeway,0.71,10,2,2100,1.25
70,40,Freeway,0.71,10,2,2100,1.31
80,40,Freeway,0.71,10,2,2100,1.37
90,40,Freeway,0.71,10,2,2100,1.45
100,40,Freeway,0.71,10,2,2100,1.53
0,40,Freeway,0.71,10,2,1800,1.0
10,40,Freeway,0.71,10,2,1800,1.08
20,40,Freeway,0.71,10,2,1800,1.15
30,40,Freeway,0.71,10,2,1800,1.21
40,40,Freeway,0.71,10,2,1800,1.27
50,40,Freeway,0.71,10,2,1800,1.34
60,40,Freeway,0.71,10,2,1800,1.4
70,40,Freeway,0.71,10,2,1800,1.5
80,40,Freeway,0.71,10,2,1800,1.6
90,40,Freeway,0.71,10,2,1800,1.71
100,40,Freeway,0.71,10,2,1800,1.82
0,40,Diverge,0.71,10,2,2400,1.0
10,40,Diverge,0.71,10,2,2400,1.01
20,40,Diverge,0.71,10,2,2400,1.02
30,40,Diverge,0.71,10,2,2400,1.05
40,40,Diverge,0.71,10,2,2400,1.07
50,40,Diverge,0.71,10,2,2400,1.1
60,40,Diverge,0.71,10,2,2400,1.13
70,40,Diverge,0.71,10,2,2400,1.18
80,40,Diverge,0.71,10,2,2400,1.22
90,40,Diverge,0.71,10,2,2400,1.29
100,40,Diverge,0.71,10,2,2400,1.35
0,40,Diverge,0.71,10,2,2100,1.0
10,40,Diverge,0.71,10,2,2100,1.01
20,40,Diverge,0.71,10,2,2100,1.02
30,40,Diverge,0.71,10,2,2100,1.06
40,40,Diverge,0.71,10,2,2100,1.1
50,40,Diverge,0.71,10,2,2100,1.18
60,40,Diverge,0.71,10,2,2100,1.25
70,40,Diverge,0.71,10,2,2100,1.31
80,40,Diverge,0.71,10,2,2100,1.37
90,40,Diverge,0.71,10,2,2100,1.45
100,40,Diverge,0.71,10,2,2100,1.53
0,40,Diverge,0.71,10,2,1800,1.0
10,40,Diverge,0.71,10,2,1800,1.08
20,40,Diverge,0.71,10,2,1800,1.15
30,40,Diverge,0.71,10,2,1800,1.21
40,40,Diverge,0.71,10,2,1800,1.27
50,40,Diverge,0.71,10,2,1800,1.34
60,40,Diverge,0.71,10,2,1800,1.4
70,40,Diverge,0.71,10,2,1800,1.5
80,40,Diverge,0.71,10,2,1800,1.6
90,40,Diverge,0.71,10,2,1800,1.71
100,40,Diverge,0.71,10,2,1800,1.82
0,40,Merge,0.71,10,2,2200,1.0
10,40,Merge,0.71,10,2,2200,1.01
20,40,Merge,0.71,10,2,2200,1.02
30,40,Merge,0.71,10,2,2200,1.05
40,40,Merge,0.71,10,2,2200,1.07
50,40,Merge,0.71,10,2,2200,1.12
60,40,Merge,0.71,10,2,2200,1.16
70,40,Merge,0.71,10,2,2200,1.25
80,40,Merge,0.71,10,2,2200,1.33
90,40,Merge,0.71,10,2,2200,1.41
100,40,Merge,0.71,10,2,2200,1.49
0,50,Freeway,0.71,10,2,2400,1.0
10,50,Freeway,0.71,10,2,2400,1.01
20,50,Freeway,0.71,10,2,2400,1.02
30,50,Freeway,0.71,10,2,2400,1.05
40,50,Freeway,0.71,10,2,2400,1.07
50,50,Freeway,0.71,10,2,2400,1.1
60,50,Freeway,0.71,10,2,2400,1.13
70,50,Freeway,0.71,10,2,2400,1.18
80,50,Freeway,0.71,10,2,2400,1.22
90,50,Freeway,0.71,10,2,2400,1.29
100,50,Freeway,0.71,10,2,2400,1.35
0,50,Freeway,0.71,10,2,2100,1.0
10,50,Freeway,0.71,10,2,2100,1.01
20,50,Freeway,0.71,10,2,2100,1.02
30,50,Freeway,0.71,10,2,2100,1.06
40,50,Freeway,0.71,10,2,2100,1.1
50,50,Freeway,0.71,10,2,2100,1.18
60,50,Freeway,0.71,10,2,2100,1.25
70,50,Freeway,0.71,10,2,2100,1.31
80,50,Freeway,0.71,10,2,2100,1.37
90,50,Freeway,0.71,10,2,2100,1.45
100,50,Freeway,0.71,10,2,2100,1.53
0,50,Freeway,0.71,10,2,1800,1.0
10,50,Freeway,0.71,10,2,1800,1.08
20,50,Freeway,0.71,10,2,1800,1.15
30,50,Freeway,0.71,10,2,1800,1.21
40,50,Freeway,0.71,10,2,1800,1.27
50,50,Freeway,0.71,10,2,1800,1.34
60,50,Freeway,0.71,10,2,1800,1.4
70,50,Freeway,0.71,10,2,1800,1.5
80,50,Freeway,0.71,10,2,1800,1.6
90,50,Freeway,0.71,10,2,1800,1.71
100,50,Freeway,0.71,10,2,1800,1.82
0,50,Diverge,0.71,10,2,2400,1.0
10,50,Diverge,0.71,10,2,2400,1.01
20,50,Diverge,0.71,10,2,2400,1.02
30,50,Diverge,0.71,10,2,2400,1.05
40,50,Diverge,0.71,10,2,2400,1.07
50,50,Diverge,0.71,10,2,2400,1.1
60,50,Diverge,0.71,10,2,2400,1.13
70,50,Diverge,0.71,10,2,2400,1.18
80,50,Diverge,0.71,10,2,2400,1.22
90,50,Diverge,0.71,10,2,2400,1.29
100,50,Diverge,0.71,10,2,2400,1.35
0,50,Diverge,0.71,10,2,2100,1.0
10,50,Diverge,0.71,10,2,2100,1.01
20,50,Diverge,0.71,10,2,2100,1.02
30,50,Diverge,0.71,10,2,2100,1.06
40,50,Diverge,0.71,10,2,2100,1.1
50,50,Diverge,0.71,10,2,2100,1.18
60,50,Diverge,0.71,10,2,2100,1.25
70,50,Diverge,0.71,10,2,2100,1.31
80,50,Diverge,0.71,10,2,2100,1.37
90,50,Diverge,0.71,10,2,2100,1.45
100,50,Diverge,0.71,10,2,2100,1.53
0,50,Diverge,0.71,10,2,1800,1.0
10,50,Diverge,0.71,10,2,1800,1.08
20,50,Diverge,0.71,10,2,1800,1.15
30,50,Diverge,0.71,10,2,1800,1.21
40,50,Diverge,0.71,10,2,1800,1.27
50,50,Diverge,0.71,10,2,1800,1.34
60,50,Diverge,0.71,10,2,1800,1.4
70,50,Diverge,0.71,10,2,1800,1.5
80,50,Diverge,0.71,10,2,1800,1.6
90,50,Diverge,0.71,10,2,1800,1.71
100,50,Diverge,0.71,10,2,1800,1.82
0,50,Merge,0.71,10,2,2200,1.0
10,50,Merge,0.71,10,2,2200,1.01
20,50,Merge,0.71,10,2,2200,1.02
30,50,Merge,0.71,10,2,2200,1.05
40,50,Merge,0.71,10,2,2200,1.07
50,50,Merge,0.71,10,2,2200,1.12
60,50,Merge,0.71,10,2,2200,1.16
70,50,Merge,0.71,10,2,2200,1.25
80,50,Merge,0.71,10,2,2200,1.33
90,50,Merge,0.71,10,2,2200,1.41
100,50,Merge,0.71,10,2,2200,1.49
0,60,Freeway,0.71,10,2,2400,1.0
10,60,Freeway,0.71,10,2,2400,1.01
20,60,Freeway,0.71,10,2,2400,1.02
30,60,Freeway,0.71,10,2,2400,1.05
40,60,Freeway,0.71,10,2,2400,1.07
50,60,Freeway,0.71,10,2,2400,1.1
60,60,Freeway,0.71,10,2,2400,1.13
70,60,Freeway,0.71,10,2,2400,1.18
80,60,Freeway,0.71,10,2,2400,1.22
90,60,Freeway,0.71,10,2,2400,1.29
100,60,Freeway,0.71,10,2,2400,1.35
0,60,Freeway,0.71,10,2,2100,1.0
10,60,Freeway,0.71,10,2,2100,1.01
20,60,Freeway,0.71,10,2,2100,1.02
30,60,Freeway,0.71,10,2,2100,1.06
40,60,Freeway,0.71,10,2,2100,1.1
50,60,Freeway,0.71,10,2,2100,1.18
60,60,Freeway,0.71,10,2,2100,1.25
70,60,Freeway,0.71,10,2,2100,1.31
80,60,Freeway,0.71,10,2,2100,1.37
90,60,Freeway,0.71,10,2,2100,1.45
100,60,Freeway,0.71,10,2,2100,1.53
0,60,Freeway,0.71,10,2,1800,1.0
10,60,Freeway,0.71,10,2,1800,1.08
20,60,Freeway,0.71,10,2,1800,1.15
30,60,Freeway,0.71,10,2,1800,1.21
40,60,Freeway,0.71,10,2,1800,1.27
50,60,Freeway,0.71,10,2,1800,1.34
60,60,Freeway,0.71,10,2,1800,1.4
70,60,Freeway,0.71,10,2,1800,1.5
80,60,Freeway,0.71,10,2,1800,1.6
90,60,Freeway,0.71,10,2,1800,1.71
100,60,Freeway,0.71,10,2,1800,1.82
0,60,Diverge,0.71,10,2,2400,1.0
10,60,Diverge,0.71,10,2,2400,1.01
20,60,Diverge,0.71,10,2,2400,1.02
30,60,Diverge,0.71,10,2,2400,1.05
40,60,Diverge,0.71,10,2,2400,1.07
50,60,Diverge,0.71,10,2,2400,1.1
60,60,Diverge,0.71,10,2,2400,1.13
70,60,Diverge,0.71,10,2,2400,1.18
80,60,Diverge,0.71,10,2,2400,1.22
90,60,Diverge,0.71,10,2,2400,1.29
100,60,Diverge,0.71,10,2,2400,1.35
0,60,Diverge,0.71,10,2,2100,1.0
10,60,Diverge,0.71,10,2,2100,1.01
20,60,Diverge,0.71,10,2,2100,1.02
30,60,Diverge,0.71,10,2,2100,1.06
40,60,Diverge,0.71,10,2,2100,1.1
50,60,Diverge,0.71,10,2,2100,1.18
60,60,Diverge,0.71,10,2,2100,1.25
70,60,Diverge,0.71,10,2,2100,1.31
80,60,Diverge,0.71,10,2,2100,1.37
90,60,Diverge,0.71,10,2,2100,1.45
100,60,Diverge,0.71,10,2,2100,1.53
0,60,Diverge,0.71,10,2,1800,1.0
10,60,Diverge,0.71,10,2,1800,1.08
20,60,Diverge,0.71,10,2,1800,1.15
30,60,Diverge,0.71,10,2,1800,1.21
40,60,Diverge,0.71,10,2,1800,1.27
50,60,Diverge,0.71,10,2,1800,1.34
60,60,Diverge,0.71,10,2,1800,1.4
70,60,Diverge,0.71,10,2,1800,1.5
80,60,Diverge,0.71,10,2,1800,1.6
90,60,Diverge,0.71,10,2,1800,1.71
100,60,Diverge,0.71,10,2,1800,1.82
0,60,Merge,0.71,10,2,2200,1.0
10,60,Merge,0.71,10,2,2200,1.01
20,60,Merge,0.71,10,2,2200,1.02
30,60,Merge,0.71,10,2,2200,1.05
40,60,Merge,0.71,10,2,2200,1.07
50,60,Merge,0.71,10,2,2200,1.12
60,60,Merge,0.71,10,2,2200,1.16
70,60,Merge,0.71,10,2,2200,1.25
80,60,Merge,0.71,10,2,2200,1.33
90,60,Merge,0.71,10,2,2200,1.41
100,60,Merge,0.71,10,2,2200,1.49
0,70,Freeway,0.71,10,2,2400,1.0
10,70,Freeway,0.71,10,2,2400,1.01
20,70,Freeway,0.71,10,2,2400,1.02
30,70,Freeway,0.71,10,2,2400,1.05
40,70,Freeway,0.71,10,2,2400,1.07
50,70,Freeway,0.71,10,2,2400,1.1
60,70,Freeway,0.71,10,2,2400,1.13
70,70,Freeway,0.71,10,2,2400,1.18
80,70,Freeway,0.71,10,2,2400,1.22
90,70,Freeway,0.71,10,2,2400,1.29
100,70,Freeway,0.71,10,2,2400,1.35
0,70,Freeway,0.71,10,2,2100,1.0
10,70,Freeway,0.71,10,2,2100,1.01
20,70,Freeway,0.71,10,2,2100,1.02
30,70,Freeway,0.71,10,2,2100,1.06
40,70,Freeway,0.71,10,2,2100,1.1
50,70,Freeway,0.71,10,2,2100,1.18
60,70,Freeway,0.71,10,2,2100,1.25
70,70,Freeway,0.71,10,2,2100,1.31
80,70,Freeway,0.71,10,2,2100,1.37
90,70,Freeway,0.71,10,2,2100,1.45
100,70,Freeway,0.71,10,2,2100,1.53
0,70,Freeway,0.71,10,2,1800,1.0
10,70,Freeway,0.71,10,2,1800,1.08
20,70,Freeway,0.71,10,2,1800,1.15
30,70,Freeway,0.71,10,2,1800,1.21
40,70,Freeway,0.71,10,2,1800,1.27
50,70,Freeway,0.71,10,2,1800,1.34
60,70,Freeway,0.71,10,2,1800,1.4
70,70,Freeway,0.71,10,2,1800,1.5
80,70,Freeway,0.71,10,2,1800,1.6
90,70,Freeway,0.71,10,2,1800,1.71
100,70,Freeway,0.71,10,2,1800,1.82
0,70,Diverge,0.71,10,2,2400,1.0
10,70,Diverge,0.71,10,2,2400,1.01
20,70,Diverge,0.71,10,2,2400,1.02
30,70,Diverge,0.71,10,2,2400,1.05
40,70,Diverge,0.71,10,2,2400,1.07
50,70,Diverge,0.71,10,2,2400,1.1
60,70,Diverge,0.71,10,2,2400,1.13
70,70,Diverge,0.71,10,2,2400,1.18
80,70,Diverge,0.71,10,2,2400,1.22
90,70,Diverge,0.71,10,2,2400,1.29
100,70,Diverge,0.71,10,2,2400,1.35
0,70,Diverge,0.71,10,2,2100,1.0
10,70,Diverge,0.71,10,2,2100,1.01
20,70,Diverge,0.71,10,2,2100,1.02
30,70,Diverge,0.71,10,2,2100,1.06
40,70,Diverge,0.71,10,2,2100,1.1
50,70,Diverge,0.71,10,2,2100,1.18
60,70,Diverge,0.71,10,2,2100,1.25
70,70,Diverge,0.71,10,2,2100,1.31
80,70,Diverge,0.71,10,2,2100,1.37
90,70,Diverge,0.71,10,2,2100,1.45
100,70,Diverge,0.71,10,2,2100,1.53
0,70,Diverge,0.71,10,2,1800,1.0
10,70,Diverge,0.71,10,2,1800,1.08
20,70,Diverge,0.71,10,2,1800,1.15
30,70,Diverge,0.71,10,2,1800,1.21
40,70,Diverge,0.71,10,2,1800,1.27
50,70,Diverge,0.71,10,2,1800,1.34
60,70,Diverge,0.71,10,2,1800,1.4
70,70,Diverge,0.71,10,2,1800,1.5
80,70,Diverge,0.71,10,2,1800,1.6
90,70,Diverge,0.71,10,2,1800,1.71
100,70,Diverge,0.71,10,2,1800,1.82
0,70,Merge,0.71,10,2,2200,1.0
10,70,Merge,0.71,10,2,2200,1.01
20,70,Merge,0.71,10,2,2200,1.02
30,70,Merge,0.71,10,2,2200,1.05
40,70,Merge,0.71,10,2,2200,1.07
50,70,Merge,0.71,10,2,2200,1.12
60,70,Merge,0.71,10,2,2200,1.16
70,70,Merge,0.71,10,2,2200,1.25
80,70,Merge,0.71,10,2,2200,1.33
90,70,Merge,0.71,10,2,2200,1.41
100,70,Merge,0.71,10,2,2200,1.49
0,80,Freeway,0.71,10,2,2400,1.0
10,80,Freeway,0.71,10,2,2400,1.01
20,80,Freeway,0.71,10,2,2400,1.02
30,80,Freeway,0.71,10,2,2400,1.05
40,80,Freeway,0.71,10,2,2400,1.07
50,80,Freeway,0.71,10,2,2400,1.1
60,80,Freeway,0.71,10,2,2400,1.13
70,80,Freeway,0.71,10,2,2400,1.18
80,80,Freeway,0.71,10,2,2400,1.22
90,80,Freeway,0.71,10,2,2400,1.29
100,80,Freeway,0.71,10,2,2400,1.35
0,80,Freeway,0.71,10,2,2100,1.0
10,80,Freeway,0.71,10,2,2100,1.01
20,80,Freeway,0.71,10,2,2100,1.02
30,80,Freeway,0.71,10,2,2100,1.06
40,80,Freeway,0.71,10,2,2100,1.1
50,80,Freeway,0.71,10,2,2100,1.18
60,80,Freeway,0.71,10,2,2100,1.25
70,80,Freeway,0.71,10,2,2100,1.31
80,80,Freeway,0.71,10,2,2100,1.37
90,80,Freeway,0.71,10,2,2100,1.45
100,80,Freeway,0.71,10,2,2100,1.53
0,80,Freeway,0.71,10,2,1800,1.0
10,80,Freeway,0.71,10,2,1800,1.08
20,80,Freeway,0.71,10,2,1800,1.15
30,80,Freeway,0.71,10,2,1800,1.21
40,80,Freeway,0.71,10,2,1800,1.27
50,80,Freeway,0.71,10,2,1800,1.34
60,80,Freeway,0.71,10,2,1800,1.4
70,80,Freeway,0.71,10,2,1800,1.5
80,80,Freeway,0.71,10,2,1800,1.6
90,80,Freeway,0.71,10,2,1800,1.71
100,80,Freeway,0.71,10,2,1800,1.82
0,80,Diverge,0.71,10,2,2400,1.0
10,80,Diverge,0.71,10,2,2400,1.01
20,80,Diverge,0.71,10,2,2400,1.02
30,80,Diverge,0.71,10,2,2400,1.05
40,80,Diverge,0.71,10,2,2400,1.07
50,80,Diverge,0.71,10,2,2400,1.1
60,80,Diverge,0.71,10,2,2400,1.13
70,80,Diverge,0.71,10,2,2400,1.18
80,80,Diverge,0.71,10,2,2400,1.22
