CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,ADJ CAF
10,70,Diverge,0.71,10,2,2400,1.06
20,70,Diverge,0.71,10,2,2400,1.07
30,70,Diverge,0.71,10,2,2400,1.1
40,70,Diverge,0.71,10,2,2400,1.12
50,70,Diverge,0.71,10,2,2400,1.16
60,70,Diverge,0.71,10,2,2400,1.19
70,70,Diverge,0.71,10,2,2400,1.24
80,70,Diverge,0.71,10,2,2400,1.28
90,70,Diverge,0.71,10,2,2400,1.35
100,70,Diverge,0.71,10,2,2400,1.42
0,70,Diverge,0.71,10,2,2100,1.05
10,70,Diverge,0.71,10,2,2100,1.06
20,70,Diverge,0.71,10,2,2100,1.07
30,70,Diverge,0.71,10,2,2100,1.11
40,70,Diverge,0.71,10,2,2100,1.16
50,70,Diverge,0.71,10,2,2100,1.24
60,70,Diverge,0.71,10,2,2100,1.31
70,70,Diverge,0.71,10,2,2100,1.38
80,70,Diverge,0.71,10,2,2100,1.44
90,70,Diverge,0.71,10,2,2100,1.52
100,70,Diverge,0.71,10,2,2100,1.61
0,70,Diverge,0.71,10,2,1800,1.05
10,70,Diverge,0.71,10,2,1800,1.13
20,70,Diverge,0.71,10,2,1800,1.21
30,70,Diverge,0.71,10,2,1800,1.27
40,70,Diverge,0.71,10,2,1800,1.33
50,70,Diverge,0.71,10,2,1800,1.41
60,70,Diverge,0.71,10,2,1800,1.47
70,70,Diverge,0.71,10,2,1800,1.58
80,70,Diverge,0.71,10,2,1800,1.68
90,70,Diverge,0.71,10,2,1800,1.8
100,70,Diverge,0.71,10,2,1800,1.91
0,70,Merge,0.71,10,2,2200,1.05
10,70,Merge,0.71,10,2,2200,1.06
20,70,Merge,0.71,10,2,2200,1.07
30,70,Merge,0.71,10,2,2200,1.1
40,70,Merge,0.71,10,2,2200,1.12
50,70,Merge,0.71,10,2,2200,1.18
60,70,Merge,0.71,10,2,2200,1.22
70,70,Merge,0.71,10,2,2200,1.31
80,70,Merge,0.71,10,2,2200,1.4
90,70,Merge,0.71,10,2,2200,1.48
100,70,Merge,0.71,10,2,2200,1.56
0,80,Freeway,0.71,10,2,2400,1.05
10,80,Freeway,0.71,10,2,2400,1.06
20,80,Freeway,0.71,10,2,2400,1.07
30,80,Freeway,0.71,10,2,2400,1.1
40,80,Freeway,0.71,10,2,2400,1.12
50,80,Freeway,0.71,10,2,2400,1.16
60,80,Freeway,0.71,10,2,2400,1.19
70,80,Freeway,0.71,10,2,2400,1.24
80,80,Freeway,0.71,10,2,2400,1.28
90,80,Freeway,0.71,10,2,2400,1.35
100,80,Freeway,0.71,10,2,2400,1.42
0,80,Freeway,0.71,10,2,2100,1.05
10,80,Freeway,0.71,10,2,2100,1.06
20,80,Freeway,0.71,10,2,2100,1.07
30,80,Freeway,0.71,10,2,2100,1.11
40,80,Freeway,0.71,10,2,2100,1.16
50,80,Freeway,0.71,10,2,2100,1.24
60,80,Freeway,0.71,10,2,2100,1.31
70,80,Freeway,0.71,10,2,2100,1.38
80,80,Freeway,0.71,10,2,2100,1.44
90,80,Freeway,0.71,10,2,2100,1.52
100,80,Freeway,0.71,10,2,2100,1.61
0,80,Freeway,0.71,10,2,1800,1.05
10,80,Freeway,0.71,10,2,1800,1.13
20,80,Freeway,0.71,10,2,1800,1.21
30,80,Freeway,0.71,10,2,1800,1.27
40,80,Freeway,0.71,10,2,1800,1.33
50,80,Freeway,0.71,10,2,1800,1.41
60,80,Freeway,0.71,10,2,1800,1.47
70,80,Freeway,0.71,10,2,1800,1.58
80,80,Freeway,0.71,10,2,1800,1.68
90,80,Freeway,0.71,10,2,1800,1.8
100,80,Freeway,0.71,10,2,1800,1.91
0,80,Diverge,0.71,10,2,2400,1.05
10,80,Diverge,0.71,10,2,2400,1.06
20,80,Diverge,0.71,10,2,2400,1.07
30,80,Diverge,0.71,10,2,2400,1.1
40,80,Diverge,0.71,10,2,2400,1.12
50,80,Diverge,0.71,10,2,2400,1.16
60,80,Diverge,0.71,10,2,2400,1.19
70,80,Diverge,0.71,10,2,2400,1.24
80,80,Diverge,0.71,10,2,2400,1.28
90,80,Diverge,0.71,10,2,2400,1.35
100,80,Diverge,0.71,10,2,2400,1.42
0,80,Diverge,0.71,10,2,2100,1.05
10,80,Diverge,0.71,10,2,2100,1.06
20,80,Diverge,0.71,10,2,2100,1.07
30,80,Diverge,0.71,10,2,2100,1.11
40,80,Diverge,0.71,10,2,2100,1.16
50,80,Diverge,0.71,10,2,2100,1.24
60,80,Diverge,0.71,10,2,2100,1.31
70,80,Diverge,0.71,10,2,2100,1.38
80,80,Diverge,0.71,10,2,2100,1.44
90,80,Diverge,0.71,10,2,2100,1.52
100,80,Diverge,0.71,10,2,2100,1.61
0,80,Diverge,0.71,10,2,1800,1.05
10,80,Diverge,0.71,10,2,1800,1.13
20,80,Diverge,0.71,10,2,1800,1.21
30,80,Diverge,0.71,10,2,1800,1.27
40,80,Diverge,0.71,10,2,1800,1.33
50,80,Diverge,0.71,10,2,1800,1.41
60,80,Diverge,0.71,10,2,1800,1.47
70,80,Diverge,0.71,10,2,1800,1.58
80,80,Diverge,0.71,10,2,1800,1.68
90,80,Diverge,0.71,10,2,1800,1.8
100,80,Diverge,0.71,10,2,1800,1.91
0,80,Merge,0.71,10,2,2200,1.05
10,80,Merge,0.71,10,2,2200,1.06
20,80,Merge,0.71,10,2,2200,1.07
30,80,Merge,0.71,10,2,2200,1.1
40,80,Merge,0.71,10,2,2200,1.12
50,80,Merge,0.71,10,2,2200,1.18
60,80,Merge,0.71,10,2,2200,1.22
70,80,Merge,0.71,10,2,2200,1.31
80,80,Merge,0.71,10,2,2200,1.4
90,80,Merge,0.71,10,2,2200,1.48
100,80,Merge,0.71,10,2,2200,1.56
0,90,Freeway,0.71,10,2,2400,1.05
10,90,Freeway,0.71,10,2,2400,1.06
20,90,Freeway,0.71,10,2,2400,1.07
30,90,Freeway,0.71,10,2,2400,1.1
40,90,Freeway,0.71,10,2,2400,1.12
50,90,Freeway,0.71,10,2,2400,1.16
60,90,Freeway,0.71,10,2,2400,1.19
70,90,Freeway,0.71,10,2,2400,1.24
80,90,Freeway,0.71,10,2,2400,1.28
90,90,Freeway,0.71,10,2,2400,1.35
100,90,Freeway,0.71,10,2,2400,1.42
0,90,Freeway,0.71,10,2,2100,1.05
10,90,Freeway,0.71,10,2,2100,1.06
20,90,Freeway,0.71,10,2,2100,1.07
30,90,Freeway,0.71,10,2,2100,1.11
40,90,Freeway,0.71,10,2,2100,1.16
50,90,Freeway,0.71,10,2,2100,1.24
60,90,Freeway,0.71,10,2,2100,1.31
70,90,Freeway,0.71,10,2,2100,1.38
80,90,Freeway,0.71,10,2,2100,1.44
90,90,Freeway,0.71,10,2,2100,1.52
100,90,Freeway,0.71,10,2,2100,1.61
0,90,Freeway,0.71,10,2,1800,1.05
10,90,Freeway,0.71,10,2,1800,1.13
20,90,Freeway,0.71,10,2,1800,1.21
30,90,Freeway,0.71,10,2,1800,1.27
40,90,Freeway,0.71,10,2,1800,1.33
50,90,Freeway,0.71,10,2,1800,1.41
60,90,Freeway,0.71,10,2,1800,1.47
70,90,Freeway,0.71,10,2,1800,1.58
80,90,Freeway,0.71,10,2,1800,1.68
90,90,Freeway,0.71,10,2,1800,1.8
100,90,Freeway,0.71,10,2,1800,1.91
0,90,Diverge,0.71,10,2,2400,1.05
10,90,Diverge,0.71,10,2,2400,1.06
20,90,Diverge,0.71,10,2,2400,1.07
30,90,Diverge,0.71,10,2,2400,1.1
40,90,Diverge,0.71,10,2,2400,1.12
50,90,Diverge,0.71,10,2,2400,1.16
60,90,Diverge,0.71,10,2,2400,1.19
70,90,Diverge,0.71,10,2,2400,1.24
80,90,Diverge,0.71,10,2,2400,1.28
90,90,Diverge,0.71,10,2,2400,1.35
100,90,Diverge,0.71,10,2,2400,1.42
0,90,Diverge,0.71,10,2,2100,1.05
10,90,Diverge,0.71,10,2,2100,1.06
20,90,Diverge,0.71,10,2,2100,1.07
30,90,Diverge,0.71,10,2,2100,1.11
40,90,Diverge,0.71,10,2,2100,1.16
50,90,Diverge,0.71,10,2,2100,1.24
60,90,Diverge,0.71,10,2,2100,1.31
70,90,Diverge,0.71,10,2,2100,1.38
80,90,Diverge,0.71,10,2,2100,1.44
90,90,Diverge,0.71,10,2,2100,1.52
100,90,Diverge,0.71,10,2,2100,1.61
0,90,Diverge,0.71,10,2,1800,1.05
10,90,Diverge,0.71,10,2,1800,1.13
20,90,Diverge,0.71,10,2,1800,1.21
30,90,Diverge,0.71,10,2,1800,1.27
40,90,Diverge,0.71,10,2,1800,1.33
50,90,Diverge,0.71,10,2,1800,1.41
60,90,Diverge,0.71,10,2,1800,1.47
70,90,Diverge,0.71,10,2,1800,1.58
80,90,Diverge,0.71,10,2,1800,1.68
90,90,Diverge,0.71,10,2,1800,1.8
100,90,Diverge,0.71,10,2,1800,1.91
0,90,Merge,0.71,10,2,2200,1.05
10,90,Merge,0.71,10,2,2200,1.06
20,90,Merge,0.71,10,2,2200,1.07
30,90,Merge,0.71,10,2,2200,1.1
40,90,Merge,0.71,10,2,2200,1.12
50,90,Merge,0.71,10,2,2200,1.18
60,90,Merge,0.71,10,2,2200,1.22
70,90,Merge,0.71,10,2,2200,1.31
80,90,Merge,0.71,10,2,2200,1.4
90,90,Merge,0.71,10,2,2200,1.48
100,90,Merge,0.71,10,2,2200,1.56
0,100,Freeway,0.71,10,2,2400,1.05
10,100,Freeway,0.71,10,2,2400,1.06
20,100,Freeway,0.71,10,2,2400,1.07
30,100,Freeway,0.71,10,2,2400,1.1
40,100,Freeway,0.71,10,2,2400,1.12
50,100,Freeway,0.71,10,2,2400,1.16
60,100,Freeway,0.71,10,2,2400,1.19
70,100,Freeway,0.71,10,2,2400,1.24
80,100,Freeway,0.71,10,2,2400,1.28
90,100,Freeway,0.71,10,2,2400,1.35
100,100,Freeway,0.71,10,2,2400,1.42
0,100,Freeway,0.71,10,2,2100,1.05
10,100,Freeway,0.71,10,2,2100,1.06
20,100,Freeway,0.71,10,2,2100,1.07
30,100,Freeway,0.71,10,2,2100,1.11
40,100,Freeway,0.71,10,2,2100,1.16
50,100,Freeway,0.71,10,2,2100,1.24
60,100,Freeway,0.71,10,2,2100,1.31
70,100,Freeway,0.71,10,2,2100,1.38
80,100,Freeway,0.71,10,2,2100,1.44
90,100,Freeway,0.71,10,2,2100,1.52
100,100,Freeway,0.71,10,2,2100,1.61
0,100,Freeway,0.71,10,2,1800,1.05
10,100,Freeway,0.71,10,2,1800,1.13
20,100,Freeway,0.71,10,2,1800,1.21
30,100,Freeway,0.71,10,2,1800,1.27
40,100,Freeway,0.71,10,2,1800,1.33
50,100,Freeway,0.71,10,2,1800,1.41
60,100,Freeway,0.71,10,2,1800,1.47
70,100,Freeway,0.71,10,2,1800,1.58
80,100,Freeway,0.71,10,2,1800,1.68
90,100,Freeway,0.71,10,2,1800,1.8
100,100,Freeway,0.71,10,2,1800,1.91
0,100,Diverge,0.71,10,2,2400,1.05
10,100,Diverge,0.71,10,2,2400,1.06
20,100,Diverge,0.71,10,2,2400,1.07
30,100,Diverge,0.71,10,2,2400,1.1
40,100,Diverge,0.71,10,2,2400,1.12
50,100,Diverge,0.71,10,2,2400,1.16
60,100,Diverge,0.71,10,2,2400,1.19
70,100,Diverge,0.71,10,2,2400,1.24
80,100,Diverge,0.71,10,2,2400,1.28
90,100,Diverge,0.71,10,2,2400,1.35
100,100,Diverge,0.71,10,2,2400,1.42
0,100,Diverge,0.71,10,2,2100,1.05
10,100,Diverge,0.71,10,2,2100,1.06
20,100,Diverge,0.71,10,2,2100,1.07
30,100,Diverge,0.71,10,2,2100,1.11
40,100,Diverge,0.71,10,2,2100,1.16
50,100,Diverge,0.71,10,2,2100,1.24
60,100,Diverge,0.71,10,2,2100,1.31
70,100,Diverge,0.71,10,2,2100,1.38
80,100,Diverge,0.71,10,2,2100,1.44
90,100,Diverge,0.71,10,2,2100,1.52
100,100,Diverge,0.71,10,2,2100,1.61
0,100,Diverge,0.71,10,2,1800,1.05
10,100,Diverge,0.71,10,2,1800,1.13
20,100,Diverge,0.71,10,2,1800,1.21
30,100,Diverge,0.71,10,2,1800,1.27
40,100,Diverge,0.71,10,2,1800,1.33
50,100,Diverge,0.71,10,2,1800,1.41
60,100,Diverge,0.71,10,2,1800,1.47
70,100,Diverge,0.71,10,2,1800,1.58
80,100,Diverge,0.71,10,2,1800,1.68
90,100,Diverge,0.71,10,2,1800,1.8
100,100,Diverge,0.71,10,2,1800,1.91
0,100,Merge,0.71,10,2,2200,1.05
10,100,Merge,0.71,10,2,2200,1.06
20,100,Merge,0.71,10,2,2200,1.07
30,100,Merge,0.71,10,2,2200,1.1
40,100,Merge,0.71,10,2,2200,1.12
50,100,Merge,0.71,10,2,2200,1.18
60,100,Merge,0.71,10,2,2200,1.22
70,100,Merge,0.71,10,2,2200,1.31
80,100,Merge,0.71,10,2,2200,1.4
90,100,Merge,0.71,10,2,2200,1.48
100,100,Merge,0.71,10,2,2200,1.56
