CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,ADJ CAF
100,10,Diverge,0.71,10,2,2100,1.45
0,10,Diverge,0.71,10,2,1800,0.95
10,10,Diverge,0.71,10,2,1800,1.03
20,10,Diverge,0.71,10,2,1800,1.09
30,10,Diverge,0.71,10,2,1800,1.15
40,10,Diverge,0.71,10,2,1800,1.21
50,10,Diverge,0.71,10,2,1800,1.27
60,10,Diverge,0.71,10,2,1800,1.33
70,10,Diverge,0.71,10,2,1800,1.43
80,10,Diverge,0.71,10,2,1800,1.52
90,10,Diverge,0.71,10,2,1800,1.62
100,10,Diverge,0.71,10,2,1800,1.73
0,10,Merge,0.71,10,2,2200,0.95
10,10,Merge,0.71,10,2,2200,0.96
20,10,Merge,0.71,10,2,2200,0.97
30,10,Merge,0.71,10,2,2200,1
40,10,Merge,0.71,10,2,2200,1.02
50,10,Merge,0.71,10,2,2200,1.06
60,10,Merge,0.71,10,2,2200,1.1
70,10,Merge,0.71,10,2,2200,1.19
80,10,Merge,0.71,10,2,2200,1.26
90,10,Merge,0.71,10,2,2200,1.34
100,10,Merge,0.71,10,2,2200,1.42
0,20,Freeway,0.71,10,2,2400,0.95
10,20,Freeway,0.71,10,2,2400,0.96
20,20,Freeway,0.71,10,2,2400,0.97
30,20,Freeway,0.71,10,2,2400,1
40,20,Freeway,0.71,10,2,2400,1.02
50,20,Freeway,0.71,10,2,2400,1.05
60,20,Freeway,0.71,10,2,2400,1.07
70,20,Freeway,0.71,10,2,2400,1.12
80,20,Freeway,0.71,10,2,2400,1.16
90,20,Freeway,0.71,10,2,2400,1.23
100,20,Freeway,0.71,10,2,2400,1.28
0,20,Freeway,0.71,10,2,2100,0.95
10,20,Freeway,0.71,10,2,2100,0.96
20,20,Freeway,0.71,10,2,2100,0.97
30,20,Freeway,0.71,10,2,2100,1.01
40,20,Freeway,0.71,10,2,2100,1.05
50,20,Freeway,0.71,10,2,2100,1.12
60,20,Freeway,0.71,10,2,2100,1.19
70,20,Freeway,0.71,10,2,2100,1.24
80,20,Freeway,0.71,10,2,2100,1.3
90,20,Freeway,0.71,10,2,2100,1.38
100,20,Freeway,0.71,10,2,2100,1.45
0,20,Freeway,0.71,10,2,1800,0.95
10,20,Freeway,0.71,10,2,1800,1.03
20,20,Freeway,0.71,10,2,1800,1.09
30,20,Freeway,0.71,10,2,1800,1.15
40,20,Freeway,0.71,10,2,1800,1.21
50,20,Freeway,0.71,10,2,1800,1.27
60,20,Freeway,0.71,10,2,1800,1.33
70,20,Freeway,0.71,10,2,1800,1.43
80,20,Freeway,0.71,10,2,1800,1.52
90,20,Freeway,0.71,10,2,1800,1.62
100,20,Freeway,0.71,10,2,1800,1.73
0,20,Diverge,0.71,10,2,2400,0.95
10,20,Diverge,0.71,10,2,2400,0.96
20,20,Diverge,0.71,10,2,2400,0.97
30,20,Diverge,0.71,10,2,2400,1
40,20,Diverge,0.71,10,2,2400,1.02
50,20,Diverge,0.71,10,2,2400,1.05
60,20,Diverge,0.71,10,2,2400,1.07
70,20,Diverge,0.71,10,2,2400,1.12
80,20,Diverge,0.71,10,2,2400,1.16
90,20,Diverge,0.71,10,2,2400,1.23
100,20,Diverge,0.71,10,2,2400,1.28
0,20,Diverge,0.71,10,2,2100,0.95
10,20,Diverge,0.71,10,2,2100,0.96
20,20,Diverge,0.71,10,2,2100,0.97
30,20,Diverge,0.71,10,2,2100,1.01
40,20,Diverge,0.71,10,2,2100,1.05
50,20,Diverge,0.71,10,2,2100,1.12
60,20,Diverge,0.71,10,2,2100,1.19
70,20,Diverge,0.71,10,2,2100,1.24
80,20,Diverge,0.71,10,2,2100,1.3
90,20,Diverge,0.71,10,2,2100,1.38
100,20,Diverge,0.71,10,2,2100,1.45
0,20,Diverge,0.71,10,2,1800,0.95
10,20,Diverge,0.71,10,2,1800,1.03
20,20,Diverge,0.71,10,2,1800,1.09
30,20,Diverge,0.71,10,2,1800,1.15
40,20,Diverge,0.71,10,2,1800,1.21
50,20,Diverge,0.71,10,2,1800,1.27
60,20,Diverge,0.71,10,2,1800,1.33
70,20,Diverge,0.71,10,2,1800,1.43
80,20,Diverge,0.71,10,2,1800,1.52
90,20,Diverge,0.71,10,2,1800,1.62
100,20,Diverge,0.71,10,2,1800,1.73
0,20,Merge,0.71,10,2,2200,0.95
10,20,Merge,0.71,10,2,2200,0.96
20,20,Merge,0.71,10,2,2200,0.97
30,20,Merge,0.71,10,2,2200,1
40,20,Merge,0.71,10,2,2200,1.02
50,20,Merge,0.71,10,2,2200,1.06
60,20,Merge,0.71,10,2,2200,1.1
70,20,Merge,0.71,10,2,2200,1.19
80,20,Merge,0.71,10,2,2200,1.26
90,20,Merge,0.71,10,2,2200,1.34
100,20,Merge,0.71,10,2,2200,1.42
0,30,Freeway,0.71,10,2,2400,0.95
10,30,Freeway,0.71,10,2,2400,0.96
20,30,Freeway,0.71,10,2,2400,0.97
30,30,Freeway,0.71,10,2,2400,1
40,30,Freeway,0.71,10,2,2400,1.02
50,30,Freeway,0.71,10,2,2400,1.05
60,30,Freeway,0.71,10,2,2400,1.07
70,30,Freeway,0.71,10,2,2400,1.12
80,30,Freeway,0.71,10,2,2400,1.16
90,30,Freeway,0.71,10,2,2400,1.23
100,30,Freeway,0.71,10,2,2400,1.28
0,30,Freeway,0.71,10,2,2100,0.95
