"","Facility Type","Base Capacity","CAV Percentage","CAF","Adjusted Capacity"
"1","Freeway",2200,30,1.05666666666667,2324.66666666667
"2","Merge",1800,30,1.05,1890
"3","Diverge",1900,30,1.16,2204
